board_code,stock_code,source,board_name,stock_name,board_type,subtype,refreshed_at
881103,002086,ths,农产品加工,东方海洋,industry,同花顺行业,2026-07-12 10:11:22
881103,002100,ths,农产品加工,天康生物,industry,同花顺行业,2026-07-12 10:11:22
881103,002286,ths,农产品加工,保龄宝,industry,同花顺行业,2026-07-12 10:11:22
881103,002311,ths,农产品加工,海大集团,industry,同花顺行业,2026-07-12 10:11:22
881103,002385,ths,农产品加工,大北农,industry,同花顺行业,2026-07-12 10:11:22
881103,002481,ths,农产品加工,双塔食品,industry,同花顺行业,2026-07-12 10:11:22
881103,002548,ths,农产品加工,金新农,industry,同花顺行业,2026-07-12 10:11:22
881103,002567,ths,农产品加工,唐人神,industry,同花顺行业,2026-07-12 10:11:22
881103,002696,ths,农产品加工,百洋股份,industry,同花顺行业,2026-07-12 10:11:22
881103,002852,ths,农产品加工,道道全,industry,同花顺行业,2026-07-12 10:11:22
881103,002891,ths,农产品加工,中宠股份,industry,同花顺行业,2026-07-12 10:11:22
881103,003030,ths,农产品加工,祖名股份,industry,同花顺行业,2026-07-12 10:11:22
881103,300138,ths,农产品加工,晨光生物,industry,同花顺行业,2026-07-12 10:11:22
881103,300175,ths,农产品加工,朗源股份,industry,同花顺行业,2026-07-12 10:11:22
881103,300268,ths,农产品加工,佳沃食品,industry,同花顺行业,2026-07-12 10:11:22
881103,300673,ths,农产品加工,佩蒂股份,industry,同花顺行业,2026-07-12 10:11:22
881103,300999,ths,农产品加工,金龙鱼,industry,同花顺行业,2026-07-12 10:11:22
881103,301498,ths,农产品加工,乖宝宠物,industry,同花顺行业,2026-07-12 10:11:22
881103,600127,ths,农产品加工,金健米业,industry,同花顺行业,2026-07-12 10:11:22
881103,600191,ths,农产品加工,华资实业,industry,同花顺行业,2026-07-12 10:11:22
881103,600251,ths,农产品加工,冠农股份,industry,同花顺行业,2026-07-12 10:11:22
881103,600737,ths,农产品加工,中粮糖业,industry,同花顺行业,2026-07-12 10:11:22
881103,603151,ths,农产品加工,邦基科技,industry,同花顺行业,2026-07-12 10:11:22
881103,603182,ths,农产品加工,嘉华股份,industry,同花顺行业,2026-07-12 10:11:22
881103,603231,ths,农产品加工,索宝蛋白,industry,同花顺行业,2026-07-12 10:11:22
881103,603363,ths,农产品加工,傲农生物,industry,同花顺行业,2026-07-12 10:11:22
881103,603609,ths,农产品加工,禾丰股份,industry,同花顺行业,2026-07-12 10:11:22
881103,603668,ths,农产品加工,天马科技,industry,同花顺行业,2026-07-12 10:11:22
881103,688156,ths,农产品加工,路德科技,industry,同花顺行业,2026-07-12 10:11:22
881104,002141,ths,农业服务,贤丰控股,industry,同花顺行业,2026-07-12 10:12:21
881104,002556,ths,农业服务,辉隆股份,industry,同花顺行业,2026-07-12 10:12:21
881104,002688,ths,农业服务,金河生物,industry,同花顺行业,2026-07-12 10:12:21
881104,002868,ths,农业服务,绿康生化,industry,同花顺行业,2026-07-12 10:12:21
881104,300021,ths,农业服务,大禹节水,industry,同花顺行业,2026-07-12 10:12:21
881104,300119,ths,农业服务,瑞普生物,industry,同花顺行业,2026-07-12 10:12:21
881104,300871,ths,农业服务,回盛生物,industry,同花顺行业,2026-07-12 10:12:21
881104,600195,ths,农业服务,中牧股份,industry,同花顺行业,2026-07-12 10:12:21
881104,600201,ths,农业服务,生物股份,industry,同花顺行业,2026-07-12 10:12:21
881104,603566,ths,农业服务,普莱柯,industry,同花顺行业,2026-07-12 10:12:21
881104,603718,ths,农业服务,*ST海利,industry,同花顺行业,2026-07-12 10:12:21
881104,688098,ths,农业服务,申联生物,industry,同花顺行业,2026-07-12 10:12:21
881104,688526,ths,农业服务,科前生物,industry,同花顺行业,2026-07-12 10:12:21
881104,830964,ths,农业服务,润农节水,industry,同花顺行业,2026-07-12 10:12:21
881104,838275,ths,农业服务,驱动力,industry,同花顺行业,2026-07-12 10:12:21
881104,839729,ths,农业服务,永顺生物,industry,同花顺行业,2026-07-12 10:12:21
881105,000552,ths,煤炭开采加工,甘肃能化,industry,同花顺行业,2026-07-12 10:11:19
881105,000571,ths,煤炭开采加工,新大洲A,industry,同花顺行业,2026-07-12 10:11:19
881105,000723,ths,煤炭开采加工,美锦能源,industry,同花顺行业,2026-07-12 10:11:19
881105,000937,ths,煤炭开采加工,冀中能源,industry,同花顺行业,2026-07-12 10:11:19
881105,000983,ths,煤炭开采加工,山西焦煤,industry,同花顺行业,2026-07-12 10:11:19
881105,002128,ths,煤炭开采加工,电投能源,industry,同花顺行业,2026-07-12 10:11:19
881105,600121,ths,煤炭开采加工,郑州煤电,industry,同花顺行业,2026-07-12 10:11:19
881105,600123,ths,煤炭开采加工,兰花科创,industry,同花顺行业,2026-07-12 10:11:19
